Protein.IDs,Fraction,n,n_C,n_AD,tStat,pVal,padj,ttest_significant,Entropy Control,Entropy AD,Entropy difference
sp|P63096|GNAI1_HUMAN,4,10,5,5,1.5888958919653273,0.16816079527325392,0.48674304148453207,No,0.9378162116572195,0.9375942910821363,2.2192057508318985e-4
sp|P63096|GNAI1_HUMAN,5,10,5,5,1.1561517404940036,0.30226084241687196,0.48674304148453207,No,0.9378162116572195,0.9375942910821363,2.2192057508318985e-4
sp|P63096|GNAI1_HUMAN,7,10,5,5,1.0315634788110484,0.3476736010603801,0.48674304148453207,No,0.9378162116572195,0.9375942910821363,2.2192057508318985e-4
sp|P63096|GNAI1_HUMAN,1,10,5,5,0.5349440270860784,0.6074099373236002,0.7086449268775336,No,0.9378162116572195,0.9375942910821363,2.2192057508318985e-4
sp|P63096|GNAI1_HUMAN,6,10,5,5,-0.08021689476555041,0.9380597313124626,0.9380597313124626,No,0.9378162116572195,0.9375942910821363,2.2192057508318985e-4
sp|P63098|CANB1_HUMAN,1,10,5,5,-2.1064558113127565,0.0682786811479225,0.30181334025580026,No,0.8584339612830283,0.8509211281763266,0.0075128331067017
sp|P63098|CANB1_HUMAN,4,10,5,5,1.691091395522935,0.12934857439534295,0.30181334025580026,No,0.8584339612830283,0.8509211281763266,0.0075128331067017
sp|P63098|CANB1_HUMAN,6,10,5,5,1.8245374775536203,0.12565771302758147,0.30181334025580026,No,0.8584339612830283,0.8509211281763266,0.0075128331067017
sp|P63098|CANB1_HUMAN,2,10,5,5,-0.07716413154064997,0.941660195163135,0.941660195163135,No,0.8584339612830283,0.8509211281763266,0.0075128331067017
sp|P63098|CANB1_HUMAN,3,10,5,5,0.315518693659207,0.7615140312081992,0.941660195163135,No,0.8584339612830283,0.8509211281763266,0.0075128331067017
sp|P63098|CANB1_HUMAN,5,10,5,5,-0.24095539346132866,0.8161965940204616,0.941660195163135,No,0.8584339612830283,0.8509211281763266,0.0075128331067017
sp|P63098|CANB1_HUMAN,7,10,5,5,-0.24264371109650165,0.8146432694288682,0.941660195163135,No,0.8584339612830283,0.8509211281763266,0.0075128331067017
sp|P63104|1433Z_HUMAN,1,10,5,5,-3.8441488537089583,0.007889398293368575,0.05522578805358003,No,0.9747476865020646,0.9893078426877107,0.0145601561856461
sp|P63104|1433Z_HUMAN,2,10,5,5,-1.9800691921660987,0.10275947472415983,0.24055451819458518,No,0.9747476865020646,0.9893078426877107,0.0145601561856461
sp|P63104|1433Z_HUMAN,5,10,5,5,1.670384618128488,0.1374597246826201,0.24055451819458518,No,0.9747476865020646,0.9893078426877107,0.0145601561856461
sp|P63104|1433Z_HUMAN,7,10,5,5,1.8115787730720307,0.11275065619302824,0.24055451819458518,No,0.9747476865020646,0.9893078426877107,0.0145601561856461
sp|P63104|1433Z_HUMAN,6,10,5,5,-1.0908043427948186,0.3143349820185851,0.44006897482601914,No,0.9747476865020646,0.9893078426877107,0.0145601561856461
sp|P63104|1433Z_HUMAN,4,10,5,5,-0.5694782845506843,0.5846847627910594,0.682132223256236,No,0.9747476865020646,0.9893078426877107,0.0145601561856461
sp|P63104|1433Z_HUMAN,3,10,5,5,-0.2027225164911099,0.8449622706120714,0.8449622706120714,No,0.9747476865020646,0.9893078426877107,0.0145601561856461
sp|P63151|2ABA_HUMAN;sp|Q00005|2ABB_HUMAN,2,10,5,5,-1.9750366986133685,0.09190966795912384,0.6388161168526686,No,0.9910549674091838,0.9671632515679487,0.02389171584123506
sp|P63151|2ABA_HUMAN;sp|Q00005|2ABB_HUMAN,4,10,5,5,-1.394673501877074,0.2010086582511107,0.6388161168526686,No,0.9910549674091838,0.9671632515679487,0.02389171584123506
sp|P63151|2ABA_HUMAN;sp|Q00005|2ABB_HUMAN,7,10,5,5,1.2174155761788792,0.2737783357940008,0.6388161168526686,No,0.9910549674091838,0.9671632515679487,0.02389171584123506
sp|P63151|2ABA_HUMAN;sp|Q00005|2ABB_HUMAN,1,10,5,5,-0.9337386976980229,0.3940685385987376,0.6896199425477908,No,0.9910549674091838,0.9671632515679487,0.02389171584123506
sp|P63151|2ABA_HUMAN;sp|Q00005|2ABB_HUMAN,5,10,5,5,-0.42813563460002496,0.6798991456652315,0.829516418933174,No,0.9910549674091838,0.9671632515679487,0.02389171584123506
sp|P63151|2ABA_HUMAN;sp|Q00005|2ABB_HUMAN,6,10,5,5,-0.3922550644416479,0.711014073371292,0.829516418933174,No,0.9910549674091838,0.9671632515679487,0.02389171584123506
sp|P63151|2ABA_HUMAN;sp|Q00005|2ABB_HUMAN,3,10,5,5,-0.20196741038891924,0.8465792944947943,0.8465792944947943,No,0.9910549674091838,0.9671632515679487,0.02389171584123506
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN,2,10,5,5,-1.3206857202288245,0.22404600079991877,0.8311191498694247,No,0.645297308495522,0.7215100276531092,0.0762127191575872
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN,4,10,5,5,-0.9801771551125561,0.3561939213726106,0.8311191498694247,No,0.645297308495522,0.7215100276531092,0.0762127191575872
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN,6,10,5,5,1.1875680026956656,0.27009039072868657,0.8311191498694247,No,0.645297308495522,0.7215100276531092,0.0762127191575872
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN,1,10,5,5,-0.4988028882310414,0.6324193963554983,0.9041770049361935,No,0.645297308495522,0.7215100276531092,0.0762127191575872
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN,3,10,5,5,0.29231613914798815,0.7779939723451592,0.9041770049361935,No,0.645297308495522,0.7215100276531092,0.0762127191575872
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN,5,10,5,5,0.2780876753372396,0.7880244705123125,0.9041770049361935,No,0.645297308495522,0.7215100276531092,0.0762127191575872
sp|P63162|RSMN_HUMAN;sp|P14678|RSMB_HUMAN,7,10,5,5,-0.12510096184964323,0.9041770049361935,0.9041770049361935,No,0.645297308495522,0.7215100276531092,0.0762127191575872
sp|P63167|DYL1_HUMAN,4,10,5,5,-3.9566377676545925,0.014444269822509362,0.10110988875756553,No,0.9726977297194425,0.9770080383653971,0.004310308645954608
sp|P63167|DYL1_HUMAN,2,10,5,5,2.0025541390456327,0.09599704273275673,0.22399309970976572,No,0.9726977297194425,0.9770080383653971,0.004310308645954608
sp|P63167|DYL1_HUMAN,6,10,5,5,-2.1773299083417377,0.07235935470196214,0.22399309970976572,No,0.9726977297194425,0.9770080383653971,0.004310308645954608
sp|P63167|DYL1_HUMAN,3,10,5,5,1.5458585725955176,0.187595330362404,0.31664370465768943,No,0.9726977297194425,0.9770080383653971,0.004310308645954608
sp|P63167|DYL1_HUMAN,7,10,5,5,1.4061016018742305,0.22617407475549248,0.31664370465768943,No,0.9726977297194425,0.9770080383653971,0.004310308645954608
sp|P63167|DYL1_HUMAN,1,10,5,5,-0.9939080741412317,0.35882463255766384,0.4186287379839412,No,0.9726977297194425,0.9770080383653971,0.004310308645954608
sp|P63167|DYL1_HUMAN,5,10,5,5,0.21793166148428725,0.8340797333759686,0.8340797333759686,No,0.9726977297194425,0.9770080383653971,0.004310308645954608
sp|P63172|DYLT1_HUMAN,1,10,5,5,1.785217606852727,0.12260750918065635,0.6635050458988416,No,0.9012791955699672,0.9499973260784015,0.04871813050843432
sp|P63172|DYLT1_HUMAN,6,10,5,5,1.23379058453755,0.2523898760225661,0.6635050458988416,No,0.9012791955699672,0.9499973260784015,0.04871813050843432
sp|P63172|DYLT1_HUMAN,7,10,5,5,-1.1602778013262773,0.2843593053852178,0.6635050458988416,No,0.9012791955699672,0.9499973260784015,0.04871813050843432
sp|P63172|DYLT1_HUMAN,3,10,5,5,-0.5081741321778744,0.6259746352168565,0.7303037410863326,No,0.9012791955699672,0.9499973260784015,0.04871813050843432
