protein,Df1,Df2,F value1,Mean Sq1,Mean Sq2,Pr(>F)1,Sum Sq1,Sum Sq2,padj,Significant,2-1,3-1,4-1,5-1,6-1,7-1,3-2,4-2,5-2,6-2,7-2,4-3,5-3,6-3,7-3,5-4,6-4,7-4,6-5,7-5,7-6
sp|P05198|IF2A_HUMAN,6,63,30.736737551017576,1788254987686903.2,58179726612777.77,5.967315254563028e-17,10729529926121420,3665322776604999.5,2.2803935073929374e-16,Yes,0.0057230193164039544,NA,NA,NA,1.3173188095905175e-9,NA,NA,NA,0.01959099925207819,1.534361526722705e-11,NA,NA,NA,1.5394241437149958e-11,NA,NA,1.569755436747755e-11,NA,2.637611240530191e-10,NA,1.548750017121847e-11
sp|P05230|FGF1_HUMAN,6,63,15.685155700681259,1271503965504333,81064159627634.89,6.417506029362311e-11,7629023793025998,5107042056540998,1.463784348426083e-10,Yes,NA,NA,NA,NA,NA,1.474190436390188e-9,NA,NA,NA,NA,1.0967815544660198e-9,NA,NA,NA,1.3260884057508804e-8,NA,NA,1.3531575304703836e-8,NA,1.25824114349804e-7,6.751009673511277e-8
sp|P05362|ICAM1_HUMAN,6,63,1.7271570307601245,20646185427476.168,11953855416603.174,0.12929682322631453,123877112564857,753092891246000,0.1406959032690184,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P05386|RLA1_HUMAN,6,63,49.11063427690286,412100345862213950,8391264986288890,6.577783584573739e-22,2472602075173284e3,528649694136200060,4.474354567195604e-21,Yes,NA,NA,NA,NA,1.5324741475808423e-11,NA,NA,NA,0.014371675022841424,1.5323853297388723e-11,NA,NA,NA,1.532762805567245e-11,NA,NA,1.534627980248615e-11,NA,1.5514589613019325e-11,0.001755739360982167,1.5322298985154248e-11
sp|P05387|RLA2_HUMAN,6,63,48.034705167355185,382274412454899900,7958296217766670,1.1586759395887623e-21,2293646474729399300,501372661719300200,7.743901858255899e-21,Yes,NA,NA,NA,NA,1.5325629654228123e-11,NA,NA,NA,NA,1.5323631252783798e-11,NA,NA,NA,1.5326073743437973e-11,NA,NA,1.5335399616844825e-11,NA,1.5391798946495783e-11,0.03820585407693722,1.5323187163573948e-11
sp|P05388|RLA0_HUMAN;sp|Q8NHW5|RLA0L_HUMAN,6,63,44.1241200241547,3.6177154846526163e+17,8198952143798412,9.92412497345826e-21,217062929079157e4,5.1653398505929997e+17,5.753361087832525e-20,Yes,NA,NA,NA,NA,1.533384530461035e-11,NA,NA,NA,NA,1.532762805567245e-11,NA,NA,NA,1.533473348303005e-11,NA,NA,1.536515359390478e-11,NA,1.5398016195433684e-11,0.030905141309221063,1.5323187163573948e-11
sp|P05413|FABPH_HUMAN,6,63,104.16279277004456,230031105010266400,2208380736469840.5,8.929473548471589e-31,1380186630061598500,139127986397599950,2.2811901899658793e-29,Yes,NA,NA,NA,0.028330728815917472,NA,1.5322076940549323e-11,NA,NA,NA,NA,1.5322076940549323e-11,NA,NA,NA,1.5322076940549323e-11,NA,NA,1.5322076940549323e-11,NA,1.5322076940549323e-11,1.5322076940549323e-11
sp|P05455|LA_HUMAN,6,63,9.013417321726733,2927113682683282.5,324750710879380.94,4.1500260769422093e-7,17562682096099696,20459294785401e3,7.065200123203616e-7,Yes,0.0016844139187986995,0.0013541937725261022,0.0015793672273884951,0.002097314696189234,0.0037649093017533275,NA,NA,NA,NA,NA,4.2073523236207944e-4,NA,NA,NA,3.343283368479888e-4,NA,NA,3.931194963018303e-4,NA,5.303284633936256e-4,9.864436977979896e-4
sp|P05556|ITB1_HUMAN,6,63,25.256754762664553,16685723773598944,660644011093000.1,4.8053539626964914e-15,100114342641593660,41620572698859010,1.5148494829880496e-14,Yes,NA,NA,NA,0.03171050097880157,2.0754831187019818e-10,NA,NA,NA,0.0018861811592393307,2.0078272378043494e-11,NA,NA,0.002021520023655965,2.0486168317290776e-11,NA,NA,1.072252175937649e-9,NA,6.193473800386595e-5,5.752206099052248e-5,1.5472623182688494e-11
sp|P05771|KPCB_HUMAN,6,63,44.65681938197256,132966402368885260,2977516182501843.5,7.342523922630751e-21,797798414213311600,187583519497616130,4.2974121849278645e-20,Yes,NA,0.01844703860029806,0.04118992983573977,0.008477455968264325,1.0416013607184027e-8,1.5322298985154248e-11,NA,NA,NA,1.5839594535194124e-4,1.533562166144975e-11,NA,NA,0.0038062375862422115,1.5362267014040754e-11,NA,0.0014631627688916904,1.5354717497473303e-11,0.008649102209098203,1.5383139206903707e-11,2.678964694524666e-8
sp|P05937|CALB1_HUMAN,6,63,31.512285739979056,170529366317809.28,5411520056809.52,3.3582756947491804e-17,1023176197906855.6,340925763578999.75,1.3095136180416866e-16,Yes,NA,NA,NA,NA,NA,1.5396683927804133e-11,NA,NA,NA,NA,1.5382251028484006e-11,NA,NA,NA,1.5382251028484006e-11,NA,NA,1.554389950086943e-11,NA,1.547950656544117e-11,1.5398460284643534e-11
sp|P06132|DCUP_HUMAN,6,63,58.45095456424971,1224148112531142.2,20943167167365.074,7.089978451407853e-24,7344888675186853,1319419531543999.8,6.364347225735905e-23,Yes,NA,NA,NA,NA,NA,1.5322298985154248e-11,NA,NA,NA,NA,1.5322298985154248e-11,NA,NA,NA,1.5322298985154248e-11,NA,NA,1.5322743074364098e-11,NA,1.5322743074364098e-11,1.5322298985154248e-11
sp|P06241|FYN_HUMAN,6,63,40.07201865214156,3193679554389285.5,79698494406111.14,1.0840512082219138e-19,19162077326335712,5021005147585002,5.614688237508084e-19,Yes,NA,NA,NA,NA,4.1867701787823286e-5,1.5363599281670304e-11,NA,NA,NA,2.0765654421439628e-5,1.5356937943522553e-11,NA,NA,2.6634540478687185e-6,1.5340728687363026e-11,NA,1.3593312198079133e-7,1.5329182367906924e-11,0.005699529493961575,1.6624146503829706e-11,4.726941477461999e-6
sp|P06307|CCKN_HUMAN,6,63,6.716826508218719,105925175384999.95,15770122282507.93,1.5664796233079522e-5,635551052309999.75,993517703797999.6,2.3562624702435586e-5,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.171504542025527e-4,3.9753260386077294e-5,NA,NA,0.01616616850419683,0.0027901709373704398,NA,NA,0.043697082689488576,NA,NA,NA
sp|P06396|GELS_HUMAN;REV__sp|Q6TDU7|CASC1_HUMAN,6,63,0.7435881993556891,66710983145714210,89714956750952380,0.6166472970336583,400265898874285250,565204227531e7,0.6275124256050625,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P06576|ATPB_HUMAN,6,63,118.37419060036359,200173481311889e6,1691023020277142800,2.2997795765785435e-32,1201040887871334e6,10653445027746e7,7.999574186257865e-31,Yes,1.5319240310729398e-6,3.613875865227101e-11,NA,2.6393986995998375e-10,1.6302403871293336e-11,1.5456635971133892e-11,NA,7.229692400301246e-10,1.5322298985154248e-11,1.5322076940549323e-11,1.5322076940549323e-11,1.537847627020028e-11,1.5322076940549323e-11,1.5322076940549323e-11,1.5322076940549323e-11,5.511543371694572e-7,1.9911675641637316e-9,1.7908019511736484e-10,NA,NA,NA
sp|P06702|S10A9_HUMAN,6,63,4.588830495211356,12098449100320610,2636499455132602.5,6.348375782558607e-4,72590694601923660,166099465673353950,8.36881062463906e-4,Yes,NA,NA,NA,NA,NA,0.001139153886741906,NA,NA,NA,NA,0.004281710256794136,NA,NA,NA,0.003488194921940635,NA,NA,0.0011092180932537055,NA,0.028424193939387332,0.011162558875355333
sp|P06703|S10A6_HUMAN,6,63,9.085861055376613,66889854865790400,7361972019834920,3.722580526139285e-7,401339129194742400,463804237249599940,6.372941269861494e-7,Yes,NA,NA,NA,NA,NA,5.565494801684778e-7,NA,NA,NA,NA,6.662538399759832e-6,NA,NA,NA,7.586059688202695e-6,NA,NA,9.030116093033946e-5,NA,1.514012466257153e-4,3.2366880948653254e-5
sp|P06730|IF4E_HUMAN;sp|A6NMX2|I4E1B_HUMAN,6,63,1.2542098318025094,2034044344904.761,1621773560793.6504,0.29141113708599625,12204266069428.566,102171734329999.97,0.30632194046024536,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sp|P06733|ENOA_HUMAN,6,63,157.10503972605233,14177473157023477e4,902420010315713800,6.080096281542616e-36,8506483894214086e5,5685246064988997e4,4.3281801669306855e-34,Yes,NA,NA,NA,2.5099839606135266e-4,4.412666375247509e-4,1.5322076940549323e-11,NA,NA,0.024331308001209417,0.037595992494703134,1.5322076940549323e-11,NA,0.03732121349161477,NA,1.5322076940549323e-11,NA,NA,1.5322076940549323e-11,NA,1.5322076940549323e-11,1.5322076940549323e-11
sp|P06744|G6PI_HUMAN;sp|Q8N196|SIX5_HUMAN,6,63,4.5648111277373165,1848631575296189200,404974384167460200,6.631326124347231e-4,11091789451777135e3,25513386202549993e3,8.723029336754137e-4,Yes,NA,NA,NA,NA,NA,0.04367742993617585,NA,NA,NA,NA,0.011889965747826525,NA,NA,NA,0.004401400216598295,NA,NA,0.008454635054495285,NA,0.005568862915220629,2.809383729291959e-4
